id	asv_clean	0129_cdfa_med_1	0129_cdfa_med_10_run2	0129_cdfa_med_12	0129_cdfa_med_13	0129_cdfa_med_14	0129_cdfa_med_15	0129_cdfa_med_16_run2	0129_cdfa_med_18	0129_cdfa_med_19	0129_cdfa_med_2	0129_cdfa_med_20	0129_cdfa_med_21	0129_cdfa_med_24	0129_cdfa_med_25	0129_cdfa_med_26	0129_cdfa_med_27	0129_cdfa_med_28_run2	0129_cdfa_med_3	0129_cdfa_med_30	0129_cdfa_med_31	0129_cdfa_med_32	0129_cdfa_med_33	0129_cdfa_med_36	0129_cdfa_med_37	0129_cdfa_med_38	0129_cdfa_med_39	0129_cdfa_med_4	0129_cdfa_med_42	0129_cdfa_med_43	0129_cdfa_med_44	0129_cdfa_med_45	0129_cdfa_med_5_run2	0129_cdfa_med_6	0129_cdfa_med_7	0129_cdfa_med_8	0129_cdfa_med_9	0201_med_CC29_1	0201_med_CC29_10	0201_med_CC29_11	0201_med_CC29_12	0201_med_CC29_13	0201_med_CC29_14	0201_med_CC29_15	0201_med_CC29_16	0201_med_CC29_17	0201_med_CC29_18	0201_med_CC29_19	0201_med_CC29_2	0201_med_CC29_20	0201_med_CC29_21	0201_med_CC29_22	0201_med_CC29_23	0201_med_CC29_24	0201_med_CC29_25	0201_med_CC29_26	0201_med_CC29_27	0201_med_CC29_28	0201_med_CC29_29	0201_med_CC29_3	0201_med_CC29_30	0201_med_CC29_31	0201_med_CC29_32	0201_med_CC29_33	0201_med_CC29_34	0201_med_CC29_35	0201_med_CC29_36	0201_med_CC29_37	0201_med_CC29_38	0201_med_CC29_39	0201_med_CC29_4	0201_med_CC29_40	0201_med_CC29_41	0201_med_CC29_42	0201_med_CC29_43	0201_med_CC29_44	0201_med_CC29_45	0201_med_CC29_46	0201_med_CC29_47	0201_med_CC29_48	0201_med_CC29_49	0201_med_CC29_5	0201_med_CC29_50	0201_med_CC29_51	0201_med_CC29_52	0201_med_CC29_53	0201_med_CC29_54	0201_med_CC29_56	0201_med_CC29_57	0201_med_CC29_58	0201_med_CC29_6	0201_med_CC29_60	0201_med_CC29_61	0201_med_CC29_62	0201_med_CC29_64	0201_med_CC29_65	0201_med_CC29_66	0201_med_CC29_67	0201_med_CC29_68	0201_med_CC29_69	0201_med_CC29_7	0201_med_CC29_70	0201_med_CC29_71	0201_med_CC29_72	0201_med_CC29_73	0201_med_CC29_74	0201_med_CC29_75	0201_med_CC29_76	0201_med_CC29_77	0201_med_CC29_78	0201_med_CC29_79	0201_med_CC29_8	0201_med_CC29_80	0201_med_CC29_9	CDFA_7d_CC29IRR1_PPA_run2	CDFA_7d_CC29IRR10_PPA_run2	CDFA_7d_CC29IRR2_PPA_run2	CDFA_7d_CC29IRR4_PPA_run2	CDFA_7d_CC29IRR5_PPA_run2	CDFA_7d_CC29IRR9_PPA_run2	CDFA_7d_CC29NIR1_PPA_run2	CDFA_7d_CC29NIR10_PPA_run2	CDFA_7d_CC29NIR4_PPA_run2	CDFA_7d_CC29NIR7_PPA_run2	CDFA_7d_CC29NIR9_PPA_run2	CDFA_7d_controlIRR1_PPA_run2	CDFA_7d_controlIRR10_PPA_run2	CDFA_7d_controlIRR4_PPA_run2	CDFA_7d_controlIRR5_PPA_run2	CDFA_7d_controlIRR6_PPA_run2	CDFA_7d_controlIRR7_PPA_run2	CDFA_7d_controlIRR8_PPA_run2	CDFA_7d_controlNIR10_PPA_run2	CDFA_7d_controlNIR3_PPA_run2	CDFA_7d_controlNIR6_PPA_run2	CDFA_7d_controlNIR9_PPA_run2	Enterobacter_CC2903	negative_control1	negative12_20control_PPA_run2	Positive1219_213683_PPA_run2
49eb008b5ff1430ceaebe1f7477d27f2	asv_210	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	3	0	0	12	18	5	43	3	15	161	153	54	231	42	16	60	110	69	14	10	0	16	1	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	32	0	5	12	22	20	16	30	7	52	22	20	8	18	14	31	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32e483036181a4180fc2f24c4c8698ad	asv_211	0	0	37	44	39	47	0	22	19	0	37	11	42	52	56	33	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	37	30	27	13	0	13	16	0	22	17	20	25	17	16	21	0	16	75	47	28	84	16	12	22	37	42	0	9	0	17	23	23	27	10	36	27	14	2	35	9	0	5	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8f8a965faae0bde0b1e10d34d0bd877d	asv_212	0	0	3	0	76	0	0	0	0	0	57	0	0	0	52	0	0	82	78	97	209	81	0	0	32	0	0	0	0	30	0	0	1	0	99	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	42	42	52	40	49	45	43	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	9	0	8	0	0	0	0	10	0	0	0	0	0	0	0
524de51364c1d680dd777b8e4a89b6c8	asv_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	9	0	0	0	0	0	0	0	18	0	2	0	153	492	156	145	71	70	121	42	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	4	0	0	5	0	0	8	0	2	0	6	0	0	0	3	0	0	0	3	4	0	0	0	9
b492c9d1b40fb1e42e1524c12ed51736	asv_214	2	0	0	0	80	0	0	0	0	0	78	0	0	0	33	0	0	53	61	94	194	93	0	0	33	0	0	0	0	44	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	71	44	65	49	52	43	47	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	13	0	0	0	0	12	0	0	0	0	0	0	0
98a1b85ffcf41c291f16e8b6fcf72f99	asv_215	14	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	686	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	151
ef9a7305aa7945f9e456c45c9b8da204	asv_216	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	7	11	19	0	10	8	15	0	0	0	0	0	0	0	0	0	0	10	8	12	7	0	8	106	10	19	73	29	11	9	14	15	19	9	10	174	128	248	259	0	0	7	0
15643d78397b5ede3a06aac898974dee	asv_217	0	0	6	18	0	23	0	0	22	0	0	14	6	21	6	21	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	5	21	0	32	0	27	26	28	0	16	43	36	46	33	22	0	20	45	29	36	46	21	23	22	29	28	0	23	28	17	33	41	61	22	34	44	39	0	51	22	0	32	7	23	14	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4384543c79f929ff2ea982f49b681086	asv_218	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	28	13	13	6	17	11	18	0	35	6	15	13	2	11	16	10	0	7	8	0	78	9	3	8	5	4	14	5	2	5	7	27	8	39	4	74	20	40	16	9	19	13	31	13	13	4	7	12	11	6	0	24	10	7	4	10	12	0	37	11	11	18	11	14	12	41	10	82	23	27	23	19	37	26	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2289037438a333c3e13a902d77fdfcb	asv_219	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	59	62	0	9	11	8	0	0	0	14	0	36	0	22	0	0	14	0	0	19	0	14	49	0	0	6	0	0	0	0	0	0	5	21	0	14	12	19	7	42	12	9	17	0	101	0	6	8	0	12	0	23	11	27	8	20	29	18	0	13	0	0	17	130	0	19	20	11	0	12	16	42	26	17	108	15	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
